path,size,type,confidence,reason
public/assets/exercicios/flash/063.gif,132439,asset,high,asset without textual reference
public/assets/exercicios/flash/064.gif,131041,asset,high,asset without textual reference
public/assets/exercicios/flash/065.gif,135239,asset,high,asset without textual reference
public/assets/exercicios/flash/066.gif,97706,asset,high,asset without textual reference
public/assets/exercicios/flash/067.gif,88661,asset,high,asset without textual reference
public/assets/exercicios/flash/068.gif,129922,asset,high,asset without textual reference
public/assets/exercicios/flash/069.gif,144748,asset,high,asset without textual reference
public/assets/exercicios/flash/070.gif,113001,asset,high,asset without textual reference
public/assets/exercicios/flash/071.gif,87872,asset,high,asset without textual reference
public/assets/exercicios/flash/072.gif,121667,asset,high,asset without textual reference
public/assets/exercicios/flash/073.gif,156559,asset,high,asset without textual reference
public/assets/exercicios/flash/074.gif,247082,asset,high,asset without textual reference
public/assets/exercicios/flash/075.gif,119287,asset,high,asset without textual reference
public/assets/exercicios/flash/076.gif,165742,asset,high,asset without textual reference
public/assets/exercicios/flash/077.gif,156645,asset,high,asset without textual reference
public/assets/exercicios/flash/078.gif,147104,asset,high,asset without textual reference
public/assets/exercicios/flash/079.gif,111709,asset,high,asset without textual reference
public/assets/exercicios/flash/080.gif,135959,asset,high,asset without textual reference
public/assets/exercicios/flash/081.gif,197986,asset,high,asset without textual reference
public/assets/exercicios/flash/082.gif,181566,asset,high,asset without textual reference
public/assets/exercicios/flash/083.gif,101158,asset,high,asset without textual reference
public/assets/exercicios/flash/084.gif,114329,asset,high,asset without textual reference
public/assets/exercicios/flash/085.gif,113873,asset,high,asset without textual reference
public/assets/exercicios/flash/086.gif,116533,asset,high,asset without textual reference
public/assets/exercicios/flash/087.gif,84910,asset,high,asset without textual reference
public/assets/exercicios/flash/088.gif,134352,asset,high,asset without textual reference
public/assets/exercicios/flash/089.gif,88259,asset,high,asset without textual reference
public/assets/exercicios/flash/090.gif,94376,asset,high,asset without textual reference
public/assets/exercicios/flash/091.gif,134995,asset,high,asset without textual reference
public/assets/exercicios/flash/092.gif,145118,asset,high,asset without textual reference
public/assets/exercicios/flash/093.gif,175668,asset,high,asset without textual reference
public/assets/exercicios/flash/094.gif,105272,asset,high,asset without textual reference
public/assets/exercicios/flash/095.gif,171842,asset,high,asset without textual reference
public/assets/exercicios/flash/096.gif,87134,asset,high,asset without textual reference
public/assets/exercicios/flash/097.gif,119874,asset,high,asset without textual reference
public/assets/exercicios/flash/098.gif,89653,asset,high,asset without textual reference
public/assets/exercicios/flash/099.gif,139510,asset,high,asset without textual reference
public/assets/exercicios/flash/100.gif,86298,asset,high,asset without textual reference
public/assets/exercicios/flash/101.gif,116164,asset,high,asset without textual reference
public/assets/exercicios/flash/102.gif,86837,asset,high,asset without textual reference
public/assets/exercicios/flash/103.gif,163263,asset,high,asset without textual reference
public/assets/exercicios/flash/104.gif,103624,asset,high,asset without textual reference
public/assets/exercicios/flash/105.gif,83380,asset,high,asset without textual reference
public/assets/exercicios/flash/106.gif,111876,asset,high,asset without textual reference
public/assets/exercicios/flash/107.gif,124293,asset,high,asset without textual reference
public/assets/exercicios/flash/108.gif,111280,asset,high,asset without textual reference
public/assets/exercicios/flash/109.gif,87335,asset,high,asset without textual reference
public/assets/exercicios/flash/110.gif,183172,asset,high,asset without textual reference
public/assets/exercicios/flash/111.gif,79926,asset,high,asset without textual reference
public/assets/exercicios/flash/112.gif,104198,asset,high,asset without textual reference
public/assets/exercicios/flash/113.gif,66859,asset,high,asset without textual reference
public/assets/exercicios/flash/114.gif,120511,asset,high,asset without textual reference
public/assets/exercicios/flash/115.gif,48731,asset,high,asset without textual reference
public/assets/exercicios/flash/116.gif,58219,asset,high,asset without textual reference
public/assets/exercicios/flash/117.gif,94826,asset,high,asset without textual reference
public/assets/exercicios/flash/118.gif,118720,asset,high,asset without textual reference
public/assets/exercicios/flash/119.gif,103322,asset,high,asset without textual reference
public/assets/exercicios/flash/121.gif,148661,asset,high,asset without textual reference
public/assets/exercicios/flash/122.gif,119237,asset,high,asset without textual reference
